gender,description,link_color,profileimage,sidebar_color,text,cln_desc,cln_text,saved_image
female,"Just a girl in love with God. Pole vaulting, lifting, reading and horseback riding are my passions. Country loving small town girl!",0084B4,https://pbs.twimg.com/profile_images/484636447576571905/uIDd3p4V_normal.jpeg,C0DEED,Photo: The Fellowship of the Ring: Book One in the Lord of the RingsÛ_: https://t.co/4A1v5WdDd4 https://t.co/Hyosq3fr5e,just a girl in love with god pole vaulting lifting reading and horseback riding are my passions country loving small town girl!,photo the fellowship of the ring book one in the lord of the ringsû_ https://t.co/4a1v5wddd4 https://t.co/hyosq3fr5e,./pro_img/uIDd3p4V_normal.jpeg
male,Everything I do need a news crew's presence.,0084B4,https://pbs.twimg.com/profile_images/511254006237126656/oRsrapRC_normal.jpeg,C0DEED,Photo: Snow Queen - Vlad Barbe | Kids &amp; Family |716822518: The Snow Queen is a fairy tale by Hans Christian... https://t.co/CC4qqNHvjY,everything i do need a news crew's presence.,photo snow queen vlad barbe kids amp family 716822518 the snow queen is a fairy tale by hans christian.. https://t.co/cc4qqnhvjy,./pro_img/oRsrapRC_normal.jpeg
male,"Christian, Conservative, Baptist, Believer in Constitution and founders. Own Book Business. Republican. Theologian, Historian.",0084B4,https://pbs.twimg.com/profile_images/3047508185/df2dd7d82e3e05e6e9e38e81d06c074d_normal.jpeg,C0DEED,We have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations. Or Saudi Arabia,christian conservative baptist believer in constitution and founders own book business republican theologian historian.,we have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations or saudi arabia,./pro_img/df2dd7d82e3e05e6e9e38e81d06c074d_normal.jpeg
female,"sick from the lips, caramel wanna try it? #BAFHOUSE #TeamPrettyPothead the perfect balance between badass and feminie. di Hempress -Empress;",FF0000,https://pbs.twimg.com/profile_images/413397954024579072/1rr_Ut1b_normal.jpeg,FFFFFF,"#Earth teach me quiet ~
.
.
.
as the grasses are still with new light.",sick from the lips caramel wanna try it bafhouse teamprettypothead the perfect balance between badass and feminie di hempress empress;,#earth teach me quiet as the grasses are still with new light.,./pro_img/1rr_Ut1b_normal.jpeg
male,OWNER OF JLJ HOLDINGS LLC REAL ESTATE CONSULTANT. OWNER OF FEEL REAL ESTATE SERVICE LLC,CC3366,https://pbs.twimg.com/profile_images/504633549182365696/jTWS5X8P_normal.jpeg,DBE9ED,Nothing like the midwest. Had a great weekend at The Ruffin's wedding. Im glad we all came togetherÛ_ https://t.co/DrK2UkEKxV,owner of jlj holdings llc real estate consultant owner of feel real estate service llc,nothing like the midwest had a great weekend at the ruffin's wedding im glad we all came togetherû_ https://t.co/drk2ukekxv,./pro_img/jTWS5X8P_normal.jpeg
female,i'm is a Czech adult model and pornographic actress with 42-inch natural breasts currently livin in london. You can follow me and retweet me every day:) luv u,0084B4,https://pbs.twimg.com/profile_images/538311725540728834/GZXDAPl2_normal.jpeg,C0DEED,"luv them Photo https://t.co/TeMkNK17aO for the best busty boobs click here or on image#bustyfriends bignaturals, bÛ_ https://t.co/RSbkiea90U",i'm is a czech adult model and pornographic actress with 42-inch natural breasts currently livin in london you can follow me and retweet me every day: luv u,luv them photo https://t.co/temknk17ao for the best busty boobs click here or on image#bustyfriends bignaturals bû_ https://t.co/rsbkiea90u,./pro_img/GZXDAPl2_normal.jpeg
female,"Se un uomo non Ì¬ disposto a correre qualche rischio per le sue idee, o le sue idee non valgono nulla, o non vale nulla lui (cit.)",0084B4,https://pbs.twimg.com/profile_images/595690233884241921/TYGiO3Pf_normal.jpg,C0DEED,1 amazing follower in the last week and there will be more tomorrow. Growing with https://t.co/MIjN2Phyly,se un uomo non ì disposto a correre qualche rischio per le sue idee o le sue idee non valgono nulla o non vale nulla lui cit.),1 amazing follower in the last week and there will be more tomorrow growing with https://t.co/mijn2phyly,./pro_img/TYGiO3Pf_normal.jpg
male,"Creator of On Location Education, the nationÛªs premier educational consulting service for young performers. Passion for education, film, theater & crime dramas.",6FBC1F,https://pbs.twimg.com/profile_images/577526231068864512/A_uwgf1-_normal.jpeg,C0DEED,MT @nytimesarts: The longest-running play in America is set to open in NYC for the 1st time https://t.co/65oIQVi9M8 https://t.co/6WIFY90anM,creator of on location education the nationûªs premier educational consulting service for young performers passion for education film theater crime dramas.,mt nytimesarts the longest-running play in america is set to open in nyc for the 1st time https://t.co/65oiqvi9m8 https://t.co/6wify90anm,./pro_img/A_uwgf1-_normal.jpeg
female,Lover of all outdoor things Ï_ Subtly charming geek Ï_ Massage Therapist Ï_ Mindful,0084B4,https://pbs.twimg.com/profile_images/654678470736277504/uvmjLJkx_normal.jpg,C0DEED,The #fate of EuropeÛªs net neutrality will be decided tomorrow https://t.co/zgqa8d49qX https://t.co/5Qk8zDNPQq,lover of all outdoor things ï_ subtly charming geek ï_ massage therapist ï_ mindful,the fate of europeûªs net neutrality will be decided tomorrow https://t.co/zgqa8d49qx https://t.co/5qk8zdnpqq,./pro_img/uvmjLJkx_normal.jpg
female,Naturally and artificially flavoured,0084B4,https://pbs.twimg.com/profile_images/518355358603943938/25arsg_l_normal.jpeg,C0DEED,Photo: The chronicles of Emerland. Solitaire. Games Adventure Mac App ***** $4. Û_: https://t.co/xCJnfYaPvw https://t.co/jRlgh3fNSg,naturally and artificially flavoured,photo the chronicles of emerland solitaire games adventure mac app *** 4 û_ https://t.co/xcjnfyapvw https://t.co/jrlgh3fnsg,./pro_img/25arsg_l_normal.jpeg
male,"Partner in PR Firm. Expertise/interests in crisis communications & management, public policy, economic development, media, tech, aviation, and healthcare.",5C8FB5,https://pbs.twimg.com/profile_images/469937467928223744/kMPY5Zkn_normal.jpeg,035FFF,Thanks @WinkMartindale for the shout out! IÛªm looking pretty good for 75! #FamousName https://t.co/UMrFosWY0u,partner in pr firm expertise/interests in crisis communications management public policy economic development media tech aviation and healthcare.,thanks winkmartindale for the shout out iûªm looking pretty good for 75 famousname https://t.co/umrfoswy0u,./pro_img/kMPY5Zkn_normal.jpeg
male,"Businessman,Entrepreneur, Internet Marketer. Earn Up To å£500 in a Single Day With This Remarkable New Idea...
Free Video for all: https://t.co/dl2kZcVxUE",0000FF,https://pbs.twimg.com/profile_images/518798390784557057/2Oa2aCMw_normal.jpeg,FFFFFF,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/T7UOjvQqjT","businessman,entrepreneur internet marketer earn up to å£500 in a single day with this remarkable new idea.. free video for all https://t.co/dl2kzcvxue",gala bingo clubs bought for å£241m the uk's largest high street bingo operator gala is being taken over byû_ https://t.co/t7uojvqqjt,./pro_img/2Oa2aCMw_normal.jpeg
female,"We came from different Family, Biologicaly, But our Heart beats as one! 
#KathNiel",0084B4,https://pbs.twimg.com/profile_images/630321208009998337/-SuCDPxV_normal.jpg,C0DEED,Win the Fight KNs . #PushAwardsKathNiels,we came from different family biologicaly but our heart beats as one #kathniel,win the fight kns pushawardskathniels,./pro_img/-SuCDPxV_normal.jpg
male,"Polinema Tek Informatika '13 | Basket Polinema #12 #98 | I LIKE BASKET, HOW ABOUT YOU.? | 
http://t.co/lgXn3BGetc",FF0000,https://pbs.twimg.com/profile_images/442177315737702400/DHdPkV4q_normal.jpeg,FFFFFF,Rose to play without minutes restriction in season opener: The Chicago Bulls will open a new era under coach F... https://t.co/6ec5nDJw9W,polinema tek informatika 13 basket polinema 12 98 i like basket how about you. http://t.co/lgxn3bgetc,rose to play without minutes restriction in season opener the chicago bulls will open a new era under coach f.. https://t.co/6ec5ndjw9w,./pro_img/DHdPkV4q_normal.jpeg
female,"How to Quit Paying for Expensive Medical Visits and Fake Fixes, and Eliminate His Frustrating, Nagging and Constantly Repeating Low Back Pain.",0000FF,https://pbs.twimg.com/profile_images/441066015640666112/AWytWS1a_normal.jpeg,C0DEED,Holiday Candy Course: Learn the art of gourmet candy making and make gourmet chocolates in your own kitchen! https://t.co/j1BKKeIqBA,how to quit paying for expensive medical visits and fake fixes and eliminate his frustrating nagging and constantly repeating low back pain.,holiday candy course learn the art of gourmet candy making and make gourmet chocolates in your own kitchen https://t.co/j1bkkeiqba,./pro_img/AWytWS1a_normal.jpeg
female,"18 + Only ! Big-Tits pictures from my site
.",990000,https://pbs.twimg.com/profile_images/563957664225312769/Bgbx51jj_normal.jpeg,DFDFDF,ÛÏThatÛªs the way you drop emÛ - #BigTits #Boobs #Tits - https://t.co/Wv3mjvXxd2 https://t.co/H8p2ExMWqX,18 only big-tits pictures from my site ,ûïthatûªs the way you drop emû bigtits boobs tits https://t.co/wv3mjvxxd2 https://t.co/h8p2exmwqx,./pro_img/Bgbx51jj_normal.jpeg
female,"Swiftie forever & always / I'm 20. I ª´ The Script, cats, music, traveling, tennis, basketball & ice skating / I can play the guitar, piano & ukulele a bit",43CC9A,https://pbs.twimg.com/profile_images/648919116619862016/kDLvjUyZ_normal.jpg,FFFFFF,When I'm working out&amp;I'm so exhausted I feel like breaking down any sec listening to Hall Of Fame always gives me the kick I need to go on_ÙÕ»_Ù_,swiftie forever always i'm 20 i ª the script cats music traveling tennis basketball ice skating i can play the guitar piano ukulele a bit,when i'm working out&amp;i'm so exhausted i feel like breaking down any sec listening to hall of fame always gives me the kick i need to go on_ùõ»_ù_,./pro_img/kDLvjUyZ_normal.jpg
female,"If relationship can't survive the long term, why on earth would it be worth my time and energy for the short term? #Deals #Bargains #Forsale #onsale #Discount",0084B4,https://pbs.twimg.com/profile_images/562419986203824129/OGk-MOAe_normal.jpeg,C0DEED,"#Mens #Shirt #BreakingBad WALT ""I AM THE DANGER WHITE #Tshirt SIZE: MEDIUM **NEW** https://t.co/Ds5Zl3iODk #Bestseller #Auction",if relationship can't survive the long term why on earth would it be worth my time and energy for the short term deals bargains forsale onsale discount,#mens shirt breakingbad walt i am the danger white tshirt size medium *new* https://t.co/ds5zl3iodk bestseller auction,./pro_img/OGk-MOAe_normal.jpeg
male,I am a Socio-Legal-Technologist. Inventor of Conset Receipt focused on Personal Data Control,0099B9,https://pbs.twimg.com/profile_images/3116537205/fd82b1a93d7dc3b2ad26d6c488660c97_normal.jpeg,5ED4DC,@maxschrems check out work on the ÛÏconsent receiptÛ and safe harbour via consent analysis https://t.co/R5ShghCSxe,i am a socio-legal-technologist inventor of conset receipt focused on personal data control,@maxschrems check out work on the ûïconsent receiptû and safe harbour via consent analysis https://t.co/r5shghcsxe,./pro_img/fd82b1a93d7dc3b2ad26d6c488660c97_normal.jpeg
male,"#Blogger, #Intermediario Assicurativo, esperto di pallacanestro livornese, tifoso del Milan e della Libertas Livorno, webdesigner e webmaster, blogger politico",0084B4,https://pbs.twimg.com/profile_images/558311314129293312/qYUt62v1_normal.jpeg,C0DEED,#massimolandi #newyork #newyorkcity #nyc The Wall Street Bull #economia #economics https://t.co/0rqkG8q5AB,#blogger intermediario assicurativo esperto di pallacanestro livornese tifoso del milan e della libertas livorno webdesigner e webmaster blogger politico,#massimolandi newyork newyorkcity nyc the wall street bull economia economics https://t.co/0rqkg8q5ab,./pro_img/qYUt62v1_normal.jpeg
male,i have arms and legs,0084B4,https://pbs.twimg.com/profile_images/492903633030098944/ti7l02EW_normal.jpeg,C0DEED,Trey Wingo just did a Jim Halpert look to the camera when Herm Edwards was talking,i have arms and legs,trey wingo just did a jim halpert look to the camera when herm edwards was talking,./pro_img/ti7l02EW_normal.jpeg
female,Just a small town girl convinced that she was born on the wrong side of the Mason Dixon. ÎÓ Started 3.29.13 ÏÎü,0084B4,https://pbs.twimg.com/profile_images/554024991423877123/ed0fzhVw_normal.jpeg,C0DEED,Photo: Elite Squad: The Enemy Within - JosÌ© Padilha | Action &amp; Adventure |490521733: Elite Squad 2 is a... https://t.co/hajijeG0OJ,just a small town girl convinced that she was born on the wrong side of the mason dixon îó started 3.29.13 ïîü,photo elite squad the enemy within josì padilha action amp adventure 490521733 elite squad 2 is a.. https://t.co/hajijeg0oj,./pro_img/ed0fzhVw_normal.jpeg
female,Just a girl wanting big things out of life,0084B4,https://pbs.twimg.com/profile_images/551699381125009408/3ns-S_fD_normal.jpeg,C0DEED,Photo: The Future of the Internet - Stanford Continuing Studies Program | Computer Science |384229952: The... https://t.co/ob6PlWD3du,just a girl wanting big things out of life,photo the future of the internet stanford continuing studies program computer science 384229952 the.. https://t.co/ob6plwd3du,./pro_img/3ns-S_fD_normal.jpeg
female,any questions?,0084B4,https://pbs.twimg.com/profile_images/378800000280652299/b0fc062f48b6f5b966659e03556e88da_normal.jpeg,C0DEED,Photo: Persian Circle - The University of Chicago | Middle Eastern Studies |391212381: Persian Circle The... https://t.co/TSBvgrT7eP,any questions?,photo persian circle the university of chicago middle eastern studies 391212381 persian circle the.. https://t.co/tsbvgrt7ep,./pro_img/b0fc062f48b6f5b966659e03556e88da_normal.jpeg
male,My thrillers will entertain you while scaring you into changing all your passwords! Author of SOCIAL ENGINEER and INVASION OF PRIVACY. http://t.co/L5pVxnROrD,2FC2EF,https://pbs.twimg.com/profile_images/448069047335124992/l-ZRqnsP_normal.jpeg,181A1E,"""All of the computer hacking techniques described are real."" SOCIAL ENGINEER is currently #FREE https://t.co/RctWv97BPy #kindle #mystery",my thrillers will entertain you while scaring you into changing all your passwords author of social engineer and invasion of privacy http://t.co/l5pvxnrord,"""all of the computer hacking techniques described are real. social engineer is currently free https://t.co/rctwv97bpy kindle mystery",./pro_img/l-ZRqnsP_normal.jpeg
male,"Actor, Writer, Filmmaker, Father, Husband, Gamer, Fanboy... and I got what it takes to rock the mics right. Yeah!",2FC2EF,https://pbs.twimg.com/profile_images/1789038303/IMG_9268_normal.jpg,181A1E,I added a video to a @YouTube playlist https://t.co/jtVSol8JK0 JEM REACTS - to the new Jem And The Holograms Trailer,actor writer filmmaker father husband gamer fanboy.. and i got what it takes to rock the mics right yeah!,i added a video to a youtube playlist https://t.co/jtvsol8jk0 jem reacts to the new jem and the holograms trailer,./pro_img/IMG_9268_normal.jpg
male,"Formerly known as The Subway Serenade, now known as The Astral Technician. I'm currently developing Global Biofeedback Laser Tag.",0051B3,https://pbs.twimg.com/profile_images/489426178483048448/m4_PGMvl_normal.jpeg,C0DEED,The House science committee is worse than the Benghazi committee https://t.co/KhdezWHpVG,formerly known as the subway serenade now known as the astral technician i'm currently developing global biofeedback laser tag.,the house science committee is worse than the benghazi committee https://t.co/khdezwhpvg,./pro_img/m4_PGMvl_normal.jpeg
male,"I started as Web Researcher & got passion in #SEO now working as SEO Analyst, SEM, PPC, Inbound Marketing, SMO, Lead Generation. I tweet SEO, general things",0084B4,https://pbs.twimg.com/profile_images/1529778018/Image019_normal.jpg,C0DEED,Triggered Email: The Killer Conversion App: Marketers have been using ÛÏspray and prayÛ tactics for decades. Th... https://t.co/nyxhRMML2P,i started as web researcher got passion in seo now working as seo analyst sem ppc inbound marketing smo lead generation i tweet seo general things,triggered email the killer conversion app marketers have been using ûïspray and prayû tactics for decades th.. https://t.co/nyxhrmml2p,./pro_img/Image019_normal.jpg
female,An online writing school with top instructors and great classes at affordable prices.,0084B4,https://pbs.twimg.com/profile_images/555828384928759808/skpMrdfx_normal.png,FFFFFF,https://t.co/qidHIp7tZl One of the greatest unsolved mysteries of all time! #TheZodiacKiller. https://t.co/AlTtzU5iTV,an online writing school with top instructors and great classes at affordable prices.,https://t.co/qidhip7tzl one of the greatest unsolved mysteries of all time thezodiackiller https://t.co/alttzu5itv,./pro_img/skpMrdfx_normal.png
female,Apple freak girl and love games,0084B4,https://pbs.twimg.com/profile_images/553914341355819009/jQfbYFww_normal.jpeg,C0DEED,"Photo: The News from Lake Wobegon from a Prairie Home Companion, August 28, 2010 - Garrison Keillor | Û_:... https://t.co/ZFMmFx0SX6",apple freak girl and love games,photo the news from lake wobegon from a prairie home companion august 28 2010 garrison keillor û_:.. https://t.co/zfmmfx0sx6,./pro_img/jQfbYFww_normal.jpeg
male,Internet Marketing #adsense #IM #money #youtube .  Tips on making money online with adsense & Youtube http://t.co/GBICTcktae,0000FF,https://pbs.twimg.com/profile_images/525143740231327744/jBE3cI_U_normal.jpeg,FFFFFF,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/UFcWKDyenJ",internet marketing adsense im money youtube tips on making money online with adsense youtube http://t.co/gbictcktae,gala bingo clubs bought for å£241m the uk's largest high street bingo operator gala is being taken over byû_ https://t.co/ufcwkdyenj,./pro_img/jBE3cI_U_normal.jpeg
female,hi ^^,0084B4,https://pbs.twimg.com/profile_images/565991973467615232/Nd7jNQ7d_normal.jpeg,C0DEED,The Most Likely Next President Is Hillary Clinton https://t.co/nozHcHFmZy,hi ^,the most likely next president is hillary clinton https://t.co/nozhchfmzy,./pro_img/Nd7jNQ7d_normal.jpeg
female,Food fanatic. Incurable troublemaker.,0084B4,https://pbs.twimg.com/profile_images/457660848320700417/L_3_LBop_normal.jpeg,C0DEED,Photo: The Case for Christ - Lee Strobel | Christianity |387706792: The Case for Christ Lee Strobel Genre:... https://t.co/N6uegh0ENm,food fanatic incurable troublemaker.,photo the case for christ lee strobel christianity 387706792 the case for christ lee strobel genre:.. https://t.co/n6uegh0enm,./pro_img/L_3_LBop_normal.jpeg
male,DonÛªt think for a second that I actually care what you have to say,0084B4,https://pbs.twimg.com/profile_images/521075627315568640/7koa2bO-_normal.jpeg,C0DEED,Photo: The Graveyard Book (Unabridged) - Neil Gaiman | Kids &amp; Young Adults |292061896: Neil Richard Gaiman... https://t.co/xMbPwuv7ux,donûªt think for a second that i actually care what you have to say,photo the graveyard book unabridged neil gaiman kids amp young adults 292061896 neil richard gaiman.. https://t.co/xmbpwuv7ux,./pro_img/7koa2bO-_normal.jpeg
male,"un fan de football [fan du club africain]
fan du wwe 
fan du counter strike",2FC2EF,https://pbs.twimg.com/profile_images/2487064060/i1ajhenp2pzr1160o7ic_normal.jpeg,C0DEED,Vinod Khosla Steps Off SquareÛªs Board In Advance Of Its IPO: åÊVinod Khosla has stepped down as director on theÛ_ https://t.co/FUOsN1q9SK,un fan de football fan du club africain fan du wwe fan du counter strike,vinod khosla steps off squareûªs board in advance of its ipo åêvinod khosla has stepped down as director on theû_ https://t.co/fuosn1q9sk,./pro_img/i1ajhenp2pzr1160o7ic_normal.jpeg
